msa,race,income,age,naics,wfh,essential,sick,p_race_inc
1600,3,1,2,56,1,0,0,.060484063
1600,3,3,2,56,1,0,0,.25398266
1600,1,2,2,56,1,0,0,.10628466
1600,3,2,2,56,1,0,0,.16124108
1600,2,3,2,56,1,0,0,.089049034
1600,2,2,2,56,0,0,1,.1656725
1600,3,3,2,56,0,0,1,.15427458
1600,1,3,2,56,0,0,1,.036901813
1600,2,1,2,56,0,0,1,.064847223
1600,3,1,2,56,0,0,1,.06433972
1600,1,2,2,56,0,0,1,.19234179
1600,3,2,2,56,0,0,1,.14726891
1600,2,3,2,56,0,0,1,.042776383
1600,1,1,2,56,0,0,1,.13157707
1600,2,1,2,56,1,0,1,.037065201
1600,2,3,2,56,1,0,1,.052254062
1600,3,3,2,56,1,0,1,.21865562
1600,3,2,2,56,1,0,1,.17074928
1600,3,1,2,56,1,0,1,.053453766
1600,1,1,2,56,1,0,1,.099426284
1600,1,3,2,56,1,0,1,.044509951
1600,2,2,2,56,1,0,1,.12317243
1600,1,2,2,56,1,0,1,.20071346
1600,1,3,2,61,0,0,0,.033306997
1600,3,2,2,61,0,0,0,.20005298
1600,1,1,2,61,0,0,0,.042837612
1600,2,3,2,61,0,0,0,.033746302
1600,2,1,2,61,0,0,0,.044325899
1600,3,3,2,61,0,0,0,.3126407
1600,1,2,2,61,0,0,0,.041595988
1600,3,1,2,61,0,0,0,.22304915
1600,2,2,2,61,0,0,0,.068444408
1600,2,1,2,61,1,0,0,.034849107
1600,2,2,2,61,1,0,0,.063933484
1600,1,3,2,61,1,0,0,.03498384
1600,3,2,2,61,1,0,0,.22485258
1600,3,1,2,61,1,0,0,.18540899
1600,1,1,2,61,1,0,0,.028749153
1600,2,3,2,61,1,0,0,.03650827
1600,1,2,2,61,1,0,0,.035899162
1600,3,3,2,61,1,0,0,.35481545
1600,2,2,2,61,0,0,1,.090158105
1600,3,1,2,61,0,0,1,.19992484
1600,3,2,2,61,0,0,1,.20893507
1600,2,1,2,61,0,0,1,.044061124
1600,1,2,2,61,0,0,1,.090729177
1600,1,3,2,61,0,0,1,.030391322
1600,3,3,2,61,0,0,1,.22353606
1600,2,3,2,61,0,0,1,.047690403
1600,1,1,2,61,0,0,1,.064573906
