age_i,naics_i,contactlvl,age_j,naics_j,num_contact_per_person_day,num_people
2,0,hh,4,51,.0013884953,561039
2,0,neighbor,4,51,.058623377,561039
2,0,hh,4,52,.0024882406,561039
2,0,neighbor,4,52,.10388583,561039
2,0,hh,4,53,.00093932863,561039
2,0,neighbor,4,53,.040123772,561039
2,0,hh,4,54,.0031940739,561039
2,0,neighbor,4,54,.13297115,561039
2,0,hh,4,55,.0010141898,561039
2,0,neighbor,4,55,.04255854,561039
2,0,hh,4,56,.0028732405,561039
2,0,neighbor,4,56,.11343062,561039
2,0,hh,4,61,.00060601847,561039
2,0,neighbor,4,61,.024757637,561039
2,0,hh,4,62,.0038161341,561039
2,0,neighbor,4,62,.15006265,561039
2,0,hh,4,71,.00028518518,561039
2,0,neighbor,4,71,.011699721,561039
2,0,hh,4,72,.002249398,561039
2,0,neighbor,4,72,.088093698,561039
2,0,hh,4,81,.001623773,561039
2,0,neighbor,4,81,.060587589,561039
2,0,hh,4,92,8.9120367e-06,561039
2,0,neighbor,4,92,.00027983796,561039
2,0,hh,5,0,.035929766,561039
2,0,neighbor,5,0,1.7104284,561039
2,0,hh,6,0,.013638981,561039
2,0,neighbor,6,0,.98071611,561039
2,11,hh,0,0,.32542372,295
2,11,neighbor,0,0,3.562712,295
2,11,hh,1,0,.84406781,295
2,11,neighbor,1,0,9.2169495,295
2,11,hh,2,0,.35593221,295
2,11,neighbor,2,0,5.6983051,295
2,11,neighbor,2,11,.0067796609,295
2,11,work,2,11,1.2542373,295
2,11,hh,2,21,.0033898305,295
2,11,neighbor,2,21,.064406782,295
2,11,hh,2,22,.0033898305,295
2,11,neighbor,2,22,.037288137,295
2,11,hh,2,23,.033898305,295
2,11,neighbor,2,23,.98305082,295
2,11,hh,2,31,.10169491,295
2,11,neighbor,2,31,2.6474576,295
2,11,hh,2,42,.023728814,295
2,11,neighbor,2,42,.89491528,295
2,11,hh,2,44,.074576274,295
2,11,neighbor,2,44,2.2474577,295
2,11,hh,2,48,.040677965,295
2,11,neighbor,2,48,.88474578,295
2,11,hh,2,51,.030508475,295
2,11,neighbor,2,51,.62711865,295
2,11,hh,2,52,.037288137,295
2,11,neighbor,2,52,1.3050847,295
2,11,hh,2,53,.020338982,295
2,11,neighbor,2,53,.4338983,295
2,11,hh,2,54,.061016951,295
2,11,neighbor,2,54,1.6881356,295
2,11,hh,2,55,.033898305,295
2,11,neighbor,2,55,.54237288,295
2,11,hh,2,56,.044067796,295
2,11,neighbor,2,56,1.2542373,295
2,11,hh,2,61,.020338982,295
2,11,neighbor,2,61,.24067797,295
2,11,hh,2,62,.091525421,295
2,11,neighbor,2,62,1.7932203,295
2,11,hh,2,71,.027118644,295
2,11,neighbor,2,71,.16949153,295
2,11,hh,2,72,.027118644,295
2,11,neighbor,2,72,1.0305085,295
2,11,hh,2,81,.033898305,295
2,11,neighbor,2,81,.73898304,295
2,11,neighbor,2,92,.0067796609,295
2,11,hh,3,0,.037288137,295
2,11,neighbor,3,0,1.4576272,295
2,11,neighbor,3,11,.0033898305,295
2,11,work,3,11,.19322033,295
2,11,neighbor,3,22,.013559322,295
2,11,hh,3,23,.0033898305,295
2,11,neighbor,3,23,.22033899,295
2,11,hh,3,31,.016949153,295
2,11,neighbor,3,31,.72203392,295
2,11,hh,3,42,.0033898305,295
2,11,neighbor,3,42,.19661017,295
2,11,hh,3,44,.013559322,295
2,11,neighbor,3,44,.53559321,295
2,11,neighbor,3,48,.22711864,295
